,Marital status,Application mode,Application order,Daytime/evening attendance	,Previous qualification,Mother's qualification,Admission grade,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),GDP
2418,1,1,1,1,1,37,124.0,1,0,1,0,0,18,0,0,0,0.0,0,0,0,0.0,0.32
2589,1,1,1,1,1,1,126.5,1,0,1,0,1,20,6,7,6,12.857142857142858,6,8,5,11.8,3.51
2091,1,17,2,1,1,1,128.3,0,0,1,0,1,18,7,7,7,13.428571428571429,8,8,8,14.75,-4.06
298,1,39,1,1,19,38,133.0,0,0,1,0,0,24,7,9,6,12.585714285714284,8,9,7,13.44285714285714,0.79
1683,1,1,1,1,1,37,126.1,1,0,1,1,0,18,6,6,6,13.666666666666666,6,6,6,13.5,0.32
3173,1,1,1,1,1,37,119.7,0,0,1,1,0,20,7,8,0,0.0,7,7,0,0.0,0.79
704,1,39,2,1,12,19,120.0,1,1,0,1,0,28,5,5,0,0.0,5,5,0,0.0,-3.12
3499,1,17,5,1,1,1,121.8,1,0,1,1,0,19,6,6,6,13.166666666666666,6,8,6,12.428571428571429,-0.92
1161,1,1,1,1,1,19,134.9,1,1,1,0,0,20,0,0,0,0.0,0,0,0,0.0,-0.92
752,2,39,1,0,1,37,120.0,0,0,0,0,0,38,5,6,5,10.6,5,9,2,11.0,-1.7
1734,1,1,2,1,1,38,99.3,1,0,1,0,0,21,6,8,5,12.4,6,6,6,12.0,1.79
811,1,1,1,1,1,1,116.5,0,0,1,1,0,19,5,8,2,10.0,5,8,1,16.0,0.32
2383,6,39,2,1,1,37,110.0,0,0,1,0,0,47,5,0,0,0.0,5,0,0,0.0,-3.12
2897,1,51,1,0,39,1,118.1,0,0,1,1,0,28,15,17,13,12.0,13,13,9,11.333333333333334,3.51
147,1,18,3,1,1,1,122.3,1,0,0,0,0,19,6,6,6,12.166666666666666,6,6,0,0.0,-4.06
2008,2,43,1,1,1,34,128.2,0,0,1,1,0,35,5,5,0,0.0,5,5,1,10.0,-3.12
2395,1,1,1,1,1,37,115.7,1,0,1,0,0,20,0,0,0,0.0,0,0,0,0.0,-3.12
106,1,43,1,1,1,38,133.2,0,0,1,0,0,20,9,15,9,11.666666666666666,7,8,7,11.714285714285714,0.32
1243,1,43,1,1,1,1,128.0,1,0,1,1,0,20,7,8,7,13.585714285714284,8,8,8,14.6875,-4.06
1693,1,1,2,1,1,1,120.4,1,0,1,0,0,18,5,7,2,10.0,1,1,0,0.0,-1.7
2266,1,17,1,1,1,38,126.8,1,0,1,0,0,20,5,8,5,12.333333333333334,5,7,5,12.2,-4.06
3343,2,7,1,0,3,38,120.0,0,0,0,0,0,35,6,0,0,0.0,6,0,0,0.0,1.74
802,2,39,2,1,19,37,118.0,0,0,0,1,0,33,5,11,0,0.0,5,5,0,0.0,-3.12
440,1,44,1,1,39,4,150.0,0,0,1,1,0,25,0,0,0,0.0,0,0,0,0.0,-4.06
1278,2,39,1,1,12,37,103.0,0,0,1,0,0,41,6,0,0,0.0,6,0,0,0.0,-0.92
726,1,16,2,1,1,2,119.0,1,0,1,0,1,19,8,12,7,12.599999999999998,8,12,7,12.599999999999998,1.74
969,1,43,2,1,1,19,127.1,0,0,1,1,0,23,6,9,6,12.333333333333334,6,11,5,13.0,0.32
1478,1,39,1,1,19,37,110.0,0,1,0,0,0,40,6,12,5,12.8,6,16,3,13.333333333333334,2.02
2740,1,39,1,1,1,37,128.2,0,0,1,1,0,28,5,8,3,12.0,5,10,3,11.333333333333334,0.32
1861,1,7,1,1,40,38,120.0,1,1,0,1,0,25,21,26,21,12.363636363636363,16,21,12,12.25,2.02
790,1,1,1,1,1,1,137.8,1,0,1,1,1,19,5,6,5,13.2,5,6,5,12.666666666666666,-0.92
334,4,39,1,1,1,34,128.2,0,0,1,0,0,25,5,5,0,0.0,5,5,0,0.0,0.32
2547,1,17,4,1,1,19,123.1,1,0,1,0,0,19,6,7,6,12.0,6,7,6,12.428571428571429,2.02
3223,1,1,1,1,1,3,121.9,1,0,1,0,0,18,6,8,6,14.5,6,9,6,12.857142857142858,0.79
533,1,44,1,1,39,38,126.3,1,0,1,0,1,19,6,7,5,12.2,6,6,6,11.5,0.79
1444,1,43,1,1,1,38,105.2,1,0,1,1,0,25,17,18,13,11.538461538461538,15,15,10,12.4,-1.7
1389,1,1,1,1,1,2,124.7,1,0,1,1,0,21,5,7,3,11.0,5,5,4,12.75,0.32
2433,1,39,1,0,3,19,134.0,0,0,1,0,0,25,5,14,1,11.0,5,11,2,12.666666666666666,-0.92
1915,2,39,1,1,1,37,106.8,0,0,1,1,0,34,5,8,1,10.0,5,9,0,0.0,3.51
2046,1,51,1,0,1,1,128.5,0,1,0,1,0,26,8,13,4,10.5,10,16,7,10.428571428571429,1.79
696,1,1,1,1,1,19,149.0,1,0,1,0,1,23,6,7,6,13.857142857142858,6,6,6,14.166666666666666,1.74
3524,1,17,1,1,1,38,118.3,0,0,1,1,0,18,5,13,1,10.0,5,5,1,10.0,-1.7
3134,1,17,6,1,1,37,127.7,1,0,1,1,0,18,6,6,6,15.166666666666666,6,6,6,14.833333333333334,-3.12
1210,1,1,1,1,1,1,119.4,1,0,1,1,0,20,0,0,0,0.0,0,0,0,0.0,1.74
2313,1,17,5,1,1,19,119.8,1,0,1,0,0,19,5,8,5,12.6,5,9,4,11.6,3.51
2994,1,1,3,1,1,19,116.0,1,1,1,0,0,19,6,7,0,0.0,5,5,0,0.0,0.79
2949,1,17,3,1,1,2,129.5,1,0,1,1,0,18,6,7,6,13.166666666666666,6,7,6,12.666666666666666,-0.92
2465,1,1,4,1,1,1,115.2,1,0,1,0,0,20,7,7,7,12.982857142857142,8,8,8,14.4625,1.79
645,1,1,1,1,1,3,146.7,1,0,1,0,0,18,6,6,6,13.666666666666666,6,6,5,14.0,-1.7
3187,1,17,5,1,1,19,115.9,1,0,1,0,0,22,6,7,6,13.571428571428571,6,7,6,15.285714285714286,0.79
483,1,1,4,1,1,37,123.9,0,0,1,0,0,19,7,9,7,12.1625,8,8,8,13.825,0.79
2877,1,44,1,1,39,1,131.8,0,0,1,1,1,22,7,7,7,12.285714285714286,9,10,8,12.375,1.79
1375,1,17,1,1,1,1,140.5,0,0,1,0,1,20,6,9,6,11.333333333333334,6,6,6,12.333333333333334,1.74
577,1,39,1,1,12,37,124.3,0,0,1,1,0,47,9,9,9,13.11111111111111,7,7,7,14.857142857142858,1.74
497,1,17,1,1,1,19,121.6,1,1,1,0,1,19,5,7,0,0.0,5,5,0,0.0,0.32
1897,1,17,1,1,1,1,95.0,0,0,1,1,0,20,5,14,0,0.0,5,5,0,0.0,2.02
1603,1,1,1,1,1,19,149.3,0,0,1,0,0,18,8,8,8,14.035,8,8,8,14.035,-3.12
310,4,39,1,0,1,1,129.7,0,0,1,0,0,35,5,8,5,12.0,5,9,5,12.857142857142858,0.79
1106,1,1,2,1,1,37,139.0,1,0,1,0,0,18,7,7,6,14.333333333333334,7,7,6,14.333333333333334,0.32
7,1,18,4,1,1,37,113.1,1,0,0,1,0,22,5,5,0,0.0,5,5,0,0.0,-4.06
1467,2,39,1,1,19,37,103.5,0,0,1,1,0,42,6,0,0,0.0,6,0,0,0.0,-4.06
2153,1,43,1,0,1,37,114.7,0,0,1,0,0,34,2,2,2,10.5,1,1,1,11.0,1.74
492,1,17,5,1,1,19,119.6,0,1,0,0,0,21,6,6,4,13.0,6,8,4,11.6,1.74
791,1,1,3,1,1,14,128.4,1,0,0,1,0,19,5,5,0,0.0,4,4,0,0.0,0.32
1089,1,1,2,1,1,1,133.2,1,0,1,0,1,19,6,7,6,14.714285714285714,6,6,6,15.0,0.79
2021,1,1,1,1,1,19,129.9,0,0,1,1,0,18,5,5,5,11.6,5,5,5,13.2,1.79
742,1,43,2,1,1,38,110.0,0,0,1,0,1,19,6,8,6,11.428571428571429,6,11,5,11.2,1.74
3597,2,1,1,1,1,37,139.4,0,0,0,0,0,27,6,12,2,11.0,6,14,4,10.5,-3.12
343,1,1,4,1,1,37,126.3,1,0,1,0,1,18,7,7,6,11.6,7,7,6,11.6,0.32
774,1,1,1,1,1,37,127.3,1,0,1,0,1,19,6,8,6,14.0,6,8,6,12.285714285714286,-0.92
3502,1,17,1,1,1,37,138.0,0,0,1,1,1,18,6,6,6,13.666666666666666,6,6,6,12.0,1.79
217,1,43,1,1,1,37,120.0,0,1,0,0,0,30,12,17,8,11.75,12,19,6,12.166666666666666,0.32
1700,1,17,5,1,1,19,121.3,1,0,1,0,1,19,7,8,7,13.385714285714286,8,8,8,13.3875,1.74
666,1,17,1,1,1,19,129.2,0,0,1,0,1,18,7,7,7,14.145714285714286,8,9,8,13.627777777777778,2.02
3559,1,17,1,1,1,2,116.1,0,0,1,0,0,20,5,12,3,11.666666666666666,5,11,4,11.5,-3.12
182,1,1,3,1,1,1,117.5,1,0,1,0,0,18,6,9,4,11.25,6,13,2,12.5,-3.12
2919,2,39,1,0,1,1,130.0,0,0,0,1,1,26,5,12,3,10.666666666666666,5,11,3,10.666666666666666,-3.12
801,4,42,1,1,1,37,123.0,1,0,1,1,0,33,5,5,1,10.0,5,5,0,0.0,0.32
1947,1,1,5,1,1,19,114.2,1,0,1,1,0,20,5,9,3,10.333333333333334,5,6,5,12.8,1.79
1305,2,39,2,1,19,37,135.6,0,0,1,0,0,46,6,10,5,11.4,6,9,4,13.75,1.79
3442,1,1,1,1,1,38,120.8,1,0,1,0,1,20,8,8,7,12.744285714285716,8,8,7,12.744285714285716,1.74
3039,1,44,1,1,39,19,160.0,1,1,1,1,1,21,0,0,0,0.0,0,0,0,0.0,-4.06
95,1,1,1,1,1,3,122.3,0,0,1,0,0,19,0,0,0,0.0,0,0,0,0.0,1.74
3284,4,7,1,1,40,19,130.0,0,0,0,0,0,42,7,10,5,12.62,7,11,3,14.166666666666666,1.79
2996,1,1,1,1,1,38,127.0,1,0,1,0,0,18,5,7,3,12.333333333333334,5,9,5,12.6,1.74
1588,1,17,1,1,1,38,115.1,1,0,1,0,0,19,6,7,6,14.571428571428571,6,7,6,12.333333333333334,1.79
1824,1,1,5,1,1,39,127.8,1,0,0,1,0,18,5,0,0,0.0,5,0,0,0.0,2.02
643,1,1,2,1,1,1,124.8,1,0,1,0,1,20,6,7,5,12.8,6,6,6,12.333333333333334,1.79
3126,1,43,1,1,1,37,130.5,1,0,1,0,0,28,11,11,9,11.666666666666666,11,13,9,12.555555555555555,1.74
2189,1,17,4,1,1,38,137.4,1,0,1,1,0,19,6,6,6,13.833333333333334,6,8,6,13.125,1.74
629,2,44,1,0,39,1,154.0,0,0,1,1,0,37,16,17,16,14.125,11,14,10,13.0,1.79
3549,2,39,1,1,12,37,120.0,0,0,1,0,0,25,5,0,0,0.0,5,0,0,0.0,-3.12
2771,1,1,1,1,1,38,112.3,0,0,1,0,1,20,7,7,7,12.142857142857142,7,7,7,12.857142857142858,2.02
3261,1,43,1,1,1,19,120.2,1,0,1,0,0,20,5,9,4,12.0,5,10,5,13.428571428571429,1.74
928,1,18,1,1,1,38,119.3,1,0,1,0,0,19,8,8,8,13.11625,8,8,8,13.11625,-3.12
1045,1,1,1,1,1,38,126.7,1,0,1,0,0,19,6,11,4,12.75,6,7,6,11.333333333333334,0.32
2308,1,44,1,1,1,1,145.9,0,0,1,0,1,19,6,6,6,15.5,6,7,6,13.571428571428571,0.79
2731,2,43,1,0,1,37,130.0,1,0,1,1,0,30,10,14,9,12.333333333333334,10,12,8,12.0,-3.12
214,1,43,1,1,1,1,118.8,1,1,0,0,0,22,10,16,6,11.833333333333334,7,8,2,13.0,-0.92
1798,2,7,1,1,43,37,140.0,0,0,1,0,0,33,6,7,6,15.0,6,8,3,11.0,2.02
1714,1,1,4,1,1,38,129.0,1,0,1,0,0,19,6,8,6,11.666666666666666,6,6,6,12.333333333333334,1.74
2169,1,39,1,0,1,37,151.2,0,0,1,1,0,25,5,11,4,11.5,5,11,3,13.5,1.79
1158,1,17,6,1,1,37,117.1,1,0,1,1,0,19,5,10,0,0.0,5,5,0,0.0,0.32
1187,1,1,1,1,1,38,118.5,1,0,1,0,0,18,6,6,6,10.666666666666666,6,6,6,11.5,0.32
2839,2,39,1,1,1,37,117.9,0,0,1,0,0,35,1,1,0,0.0,5,0,0,0.0,1.74
600,1,44,1,1,39,2,140.0,0,0,1,1,0,21,6,12,5,12.142857142857142,6,11,5,11.666666666666666,0.79
278,1,1,1,1,1,38,103.5,1,0,1,0,0,20,6,7,6,12.0,6,7,6,13.0,1.79
186,2,7,1,1,3,1,130.0,0,0,1,0,0,45,5,6,5,11.0,5,5,5,13.8,1.79
2923,1,39,1,1,19,3,103.0,0,0,1,1,0,25,6,0,0,0.0,6,0,0,0.0,1.74
1414,1,17,4,1,1,19,130.2,1,0,1,0,1,18,6,8,6,12.75,6,10,6,12.166666666666666,-1.7
868,1,1,3,1,1,3,157.5,1,0,1,0,0,19,6,8,6,13.166666666666666,6,7,6,13.166666666666666,1.74
2214,2,42,1,1,1,3,113.3,0,0,1,1,0,26,6,9,1,10.0,6,6,0,0.0,1.79
603,4,39,1,1,1,37,150.0,1,0,1,1,0,34,6,9,0,0.0,6,6,0,0.0,-0.92
927,1,1,1,1,1,19,136.6,0,0,1,0,1,19,7,12,6,13.766666666666666,8,10,7,14.051428571428572,-4.06
250,1,17,4,1,1,1,107.1,1,0,1,0,0,20,7,7,7,12.5,8,8,8,13.1375,1.79
2444,1,7,1,1,3,19,150.0,0,1,0,0,0,25,6,7,6,14.428571428571429,6,7,6,13.666666666666666,1.74
3172,1,17,2,1,1,1,130.8,0,0,1,1,0,20,6,15,2,12.0,6,12,0,0.0,1.74
1735,1,18,1,1,1,37,119.3,0,0,1,0,1,19,8,9,8,13.78125,8,9,8,13.78125,-3.12
1613,1,1,1,1,1,12,107.0,1,0,1,0,0,19,6,11,5,10.6,6,10,6,11.714285714285714,2.02
191,1,39,1,1,3,19,130.5,0,0,1,0,0,38,6,0,0,0.0,6,0,0,0.0,-4.06
476,1,17,5,1,1,12,133.0,1,0,1,0,0,18,7,8,7,12.5375,8,9,7,12.614285714285714,0.79
775,1,7,1,1,3,1,130.0,0,0,1,0,0,34,6,0,0,0.0,6,0,0,0.0,-4.06
1468,1,7,1,0,3,37,140.0,0,0,1,1,0,27,5,6,4,13.5,5,6,4,13.75,0.32
3286,2,39,1,1,1,34,140.0,0,0,0,1,0,34,5,5,0,0.0,5,5,0,0.0,-4.06
2769,1,44,1,1,39,38,160.0,1,0,1,0,0,21,6,11,6,13.428571428571429,6,12,6,12.857142857142858,-4.06
3152,1,39,1,1,12,34,128.2,0,1,0,1,0,27,5,5,0,0.0,5,5,0,0.0,0.32
718,1,17,1,1,1,38,115.2,0,0,1,1,1,21,6,8,4,11.5,6,7,5,11.0,-4.06
438,1,1,2,1,1,4,127.3,1,0,1,1,0,18,8,8,7,11.69,8,8,7,11.69,1.74
3433,2,39,1,0,1,37,134.5,0,0,1,0,0,28,6,8,5,11.833333333333334,6,6,6,13.0,-0.92
1719,1,1,1,1,1,4,120.5,0,0,1,0,0,19,7,7,6,14.15,7,7,6,14.15,0.32
1428,1,1,3,1,1,3,116.5,0,0,1,1,0,20,5,7,5,11.6,5,5,5,12.8,1.79
357,1,1,1,1,1,1,127.8,0,0,1,0,1,19,7,7,0,0.0,7,7,0,0.0,0.32
123,1,1,1,1,1,38,138.1,0,0,1,0,0,19,6,8,6,12.0,6,10,4,11.5,0.32
315,1,1,1,1,1,19,117.0,0,0,1,0,1,19,6,7,6,13.428571428571429,6,6,6,13.166666666666666,-4.06
1267,1,39,1,1,1,37,98.7,0,0,1,1,1,28,5,12,3,10.0,5,10,3,12.4,1.79
2690,1,1,1,1,1,38,99.6,1,0,1,0,1,21,5,10,5,13.714285714285714,5,7,5,14.4,2.02
924,1,17,4,1,1,19,134.9,1,0,1,0,0,20,5,7,4,12.4,5,9,5,12.666666666666666,0.32
3031,1,39,1,1,1,37,101.6,0,0,1,1,1,30,5,11,0,0.0,5,5,0,0.0,-1.7
211,2,39,1,1,19,38,99.5,1,1,0,0,1,37,7,13,1,16.0,7,12,0,0.0,3.51
1771,1,17,1,1,1,1,115.7,1,0,1,0,0,21,6,8,6,12.166666666666666,6,7,6,13.285714285714286,2.02
2248,1,39,1,1,1,19,123.0,0,1,0,0,1,28,6,6,6,10.833333333333334,6,7,5,11.0,0.79
2405,4,39,1,0,3,37,130.0,0,0,1,0,1,43,6,7,5,12.2,6,6,6,12.333333333333334,-3.12
2531,1,43,1,0,1,37,119.5,1,0,1,0,0,22,15,17,15,11.2,14,15,14,12.428571428571429,0.32
188,1,39,2,1,1,34,97.0,1,0,1,0,0,28,5,5,0,0.0,5,5,0,0.0,0.32
1794,1,18,2,1,1,1,121.2,1,0,1,0,0,18,7,8,7,12.4,8,9,8,12.8,-0.92
2827,1,1,2,1,1,3,127.5,1,0,1,0,1,18,7,7,7,14.485714285714286,8,9,8,14.58888888888889,-0.92
3576,1,1,4,1,1,1,124.8,1,0,1,0,0,19,6,6,6,13.0,6,8,5,13.4,3.51
984,1,53,1,1,42,19,138.2,0,1,0,0,0,21,10,15,8,13.75,9,17,5,13.2,3.51
684,1,17,3,1,1,3,125.4,1,0,1,1,0,19,5,10,3,13.333333333333334,5,9,4,10.75,3.51
3197,1,1,1,1,1,38,130.0,1,0,1,1,1,18,7,7,6,13.183333333333332,7,7,6,13.183333333333332,0.32
690,1,1,1,1,1,38,133.6,1,0,1,0,0,18,6,9,5,11.4,6,8,5,10.8,-3.12
1781,1,1,1,1,1,38,134.3,1,0,1,0,0,19,6,6,6,14.666666666666666,6,7,6,15.142857142857142,3.51
454,1,17,2,1,1,1,95.0,0,0,1,1,0,20,5,14,0,0.0,5,5,0,0.0,2.02
2766,1,17,2,1,1,1,130.3,1,0,1,0,1,18,6,6,6,12.833333333333334,6,7,6,12.333333333333334,0.79
154,1,39,1,1,1,12,118.0,1,0,1,0,0,24,5,5,0,0.0,5,5,0,0.0,0.32
341,1,1,1,1,1,1,127.4,1,0,1,0,0,19,6,13,6,15.23076923076923,6,10,6,12.375,-4.06
3050,1,1,2,1,1,1,116.1,1,0,1,1,1,18,5,6,4,12.25,5,5,5,12.2,-3.12
2144,1,39,1,0,1,1,115.0,0,0,1,1,0,25,5,7,0,0.0,5,8,0,0.0,-0.92
1238,1,1,1,1,1,1,116.0,0,0,1,1,0,20,6,8,6,11.5,6,8,6,11.0,-0.92
1952,1,1,1,1,1,37,95.0,0,0,0,1,0,21,6,9,4,13.25,6,6,5,11.0,-1.7
1053,1,1,2,1,1,19,122.8,0,0,1,1,0,19,6,0,0,0.0,6,0,0,0.0,1.79
2178,1,17,5,1,1,3,119.8,0,0,1,1,0,19,8,11,7,13.867142857142856,8,11,7,13.867142857142856,1.74
2772,1,1,4,1,1,19,125.0,1,0,1,0,0,18,7,7,6,13.9,7,7,6,13.9,0.32
70,1,39,1,1,1,1,100.8,0,0,1,1,0,24,7,18,0,0.0,7,7,0,0.0,0.79
931,1,17,1,1,1,19,129.5,1,0,1,0,1,20,7,7,6,12.333333333333334,7,7,6,12.333333333333334,0.32
1742,1,44,1,1,39,3,150.0,1,0,1,0,0,22,6,7,6,14.428571428571429,6,9,5,13.0,0.79
2927,1,1,1,1,1,1,120.1,1,0,1,1,1,20,6,7,6,13.571428571428571,6,8,6,13.166666666666666,3.51
2358,1,1,1,1,1,19,153.7,0,0,1,0,1,18,6,8,6,13.142857142857142,6,6,6,12.833333333333334,-4.06
