Marital status,Application mode,Application order,Daytime/evening attendance	,Previous qualification,Mother's qualification,Admission grade,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),GDP,Target
1,1,5,1,1,3,121.1,0,1,1,0,0,18,6,6,4,12.75,5,5,0,0.0,-1.7,0
1,1,2,1,1,3,120.4,1,0,1,0,0,22,5,5,5,14.8,5,5,5,15.8,3.51,1
1,1,6,1,1,1,100.6,1,0,1,0,0,22,7,9,5,13.928,8,9,7,14.342857142857142,2.02,1
1,17,1,1,1,1,121.4,0,0,0,0,0,20,6,7,4,13.0,6,7,5,13.8,1.79,0
1,39,1,0,1,37,109.7,0,0,1,0,0,29,5,0,0,0.0,5,0,0,0.0,-0.92,0
1,17,2,1,1,19,127.6,1,0,1,0,0,18,6,6,6,11.666666666666666,6,8,5,13.2,2.02,1
1,17,6,1,1,37,132.4,1,0,1,0,1,22,7,8,6,13.516666666666666,8,9,7,13.771428571428572,2.02,1
1,44,1,0,39,1,133.4,0,0,1,0,1,21,6,6,6,11.5,6,7,6,13.285714285714286,1.79,1
1,1,1,1,1,37,126.1,0,0,1,0,1,19,6,7,5,12.333333333333334,6,7,6,12.833333333333334,-1.7,1
1,39,1,1,1,19,113.5,0,0,1,0,1,24,6,6,6,13.666666666666666,6,6,6,14.166666666666666,1.79,1
1,1,3,1,1,37,159.3,0,0,1,0,0,19,5,7,5,14.714285714285714,5,5,5,15.8,0.32,1
1,39,1,0,1,38,120.0,0,0,1,0,0,27,5,12,5,10.6,5,10,5,11.0,-3.12,0
1,1,1,1,1,1,129.1,1,0,1,0,0,18,7,9,7,13.044444444444444,8,10,8,13.595,-4.06,1
2,7,1,1,3,1,130.0,0,0,1,0,0,39,6,10,0,0.0,6,6,0,0.0,1.79,0
1,39,1,1,40,3,155.3,1,0,1,0,0,27,6,9,5,13.0,11,13,10,12.9,1.79,0
1,17,1,1,1,38,139.8,1,0,1,0,0,18,8,8,8,14.935,8,8,8,14.935,-3.12,1
1,1,2,1,1,19,114.9,0,0,1,0,0,18,7,8,6,13.133333333333333,8,12,7,12.221428571428572,-0.92,1
1,44,1,1,39,19,131.9,0,0,1,0,1,21,6,7,6,12.0,6,7,6,12.0,0.79,1
4,42,1,1,19,1,126.0,1,0,1,1,0,29,7,10,5,11.9,8,10,5,11.0,0.79,0
1,1,3,1,1,19,128.2,1,0,1,1,1,19,0,0,0,0.0,0,0,0,0.0,1.74,1
1,44,1,1,39,19,130.0,1,0,1,1,0,23,6,8,6,12.571428571428571,6,7,6,12.428571428571429,3.51,1
1,1,3,1,1,1,120.1,0,1,1,1,0,19,5,8,5,11.2,5,10,4,10.75,-0.92,0
1,17,1,1,1,37,130.8,0,0,1,1,0,24,7,8,7,11.975,8,8,8,13.75,0.79,1
1,1,1,1,1,19,135.8,1,0,1,1,0,19,0,0,0,0.0,0,0,0,0.0,-4.06,0
1,17,4,1,1,38,111.7,1,0,1,1,0,18,6,12,3,11.666666666666666,6,12,1,12.0,1.79,0
1,1,2,1,1,38,132.9,1,0,1,1,0,18,6,8,6,12.333333333333334,6,11,3,12.333333333333334,1.74,1
1,17,3,1,1,19,115.5,1,1,1,1,0,18,5,8,3,10.333333333333334,5,11,3,10.857142857142858,1.74,0
1,18,4,1,1,19,106.0,1,0,1,1,1,21,6,8,4,10.5,6,11,1,11.0,-3.12,0
1,17,4,1,1,1,120.3,1,1,1,1,1,19,6,6,6,13.666666666666666,6,6,6,13.333333333333334,3.51,1
1,17,4,1,1,38,130.8,0,0,1,1,1,22,7,7,7,14.842857142857142,8,9,8,15.055555555555555,-0.92,1
2,39,1,0,1,37,117.0,0,0,1,1,0,33,6,8,6,12.0,6,6,6,11.666666666666666,1.74,1
1,1,6,1,1,19,110.2,1,0,1,1,0,20,6,8,5,12.2,6,7,5,12.2,1.74,0
1,39,1,0,2,3,155.7,1,0,1,1,0,35,1,1,0,0.0,5,0,0,0.0,1.74,0
1,39,1,1,4,3,180.4,0,1,1,1,0,24,12,17,6,12.166666666666666,12,14,10,13.3,1.79,0
2,39,1,0,1,37,110.0,1,0,1,0,0,33,6,7,6,11.0,6,11,5,11.0,-3.12,1
1,42,1,1,1,37,161.0,1,0,1,0,1,22,8,8,7,13.08,8,8,7,13.08,1.74,1
1,39,1,1,1,1,100.0,0,0,1,0,1,25,5,7,4,10.5,5,7,5,11.6,-3.12,1
1,17,1,1,1,19,117.6,1,0,1,1,0,20,6,9,6,10.666666666666666,6,6,5,11.2,0.32,1
1,39,1,1,1,1,100.8,0,0,1,1,0,24,7,18,0,0.0,7,7,0,0.0,0.79,0
1,17,2,1,1,19,105.0,1,0,0,0,0,21,6,6,6,14.0,6,6,6,13.5,3.51,1
1,15,1,1,1,1,100.0,0,0,1,0,0,26,6,7,2,12.0,6,6,0,0.0,3.51,0
2,39,1,1,10,37,115.5,0,0,1,0,0,39,6,12,3,12.666666666666666,6,14,0,0.0,0.32,0
2,39,1,0,1,37,114.0,0,0,1,0,0,44,8,11,8,11.875,6,7,6,12.333333333333334,-1.7,1
1,1,5,1,1,37,124.9,1,0,1,0,0,18,6,6,6,13.666666666666666,6,6,6,13.333333333333334,3.51,1
1,1,5,1,1,37,120.3,1,0,1,0,1,18,7,7,7,13.75,8,9,8,14.47777777777778,1.79,1
1,1,4,1,1,3,111.5,1,1,0,0,0,19,7,10,4,11.96,7,7,0,0.0,0.79,0
1,53,1,1,42,38,128.8,0,0,1,0,0,21,10,12,8,12.875,9,14,5,13.4,3.51,0
1,1,4,1,1,1,110.0,1,0,1,0,0,20,0,0,0,0.0,0,0,0,0.0,-0.92,1
2,39,1,0,1,37,113.5,1,0,1,0,0,36,6,0,0,0.0,6,0,0,0.0,-3.12,0
4,39,1,1,12,37,160.0,0,0,1,0,0,43,18,19,18,14.63157894736842,13,14,13,14.23076923076923,-4.06,1
1,18,1,1,1,19,117.4,1,0,1,0,0,19,6,0,0,0.0,6,0,0,0.0,2.02,0
1,51,1,1,1,3,122.2,0,1,1,0,0,20,10,12,10,13.0,11,11,11,12.272727272727272,2.02,1
1,1,2,1,1,37,118.2,1,0,1,0,0,19,6,0,0,0.0,6,0,0,0.0,-0.92,0
1,1,1,1,1,1,106.7,1,0,1,0,0,20,6,15,4,14.2,6,17,4,13.25,-4.06,0
1,1,5,1,1,3,108.2,1,0,1,0,0,20,7,9,6,13.266666666666666,7,10,5,12.3,1.79,0
1,1,1,1,1,37,136.1,1,0,1,0,0,18,6,8,6,13.857142857142858,6,6,6,15.0,0.79,1
1,1,1,1,1,19,139.8,1,0,1,0,0,19,5,6,5,13.4,5,5,5,12.8,1.74,1
1,1,3,1,1,1,157.0,1,0,1,0,0,18,6,6,6,12.666666666666666,6,7,6,12.571428571428571,1.74,1
1,17,2,1,1,37,131.0,1,0,1,0,0,18,7,7,6,12.516666666666666,7,7,6,12.516666666666666,0.32,0
1,1,2,1,1,37,137.0,0,0,1,0,0,18,5,12,5,13.142857142857142,5,6,5,11.4,-3.12,1
1,1,1,1,1,2,121.8,0,0,1,0,0,18,5,5,5,12.6,5,5,5,14.0,2.02,1
1,17,1,1,1,1,131.0,1,0,1,0,0,21,6,12,3,11.0,6,12,2,11.0,-3.12,0
1,1,2,1,1,19,118.6,1,0,1,0,0,19,5,8,5,10.8,5,9,4,11.25,-0.92,1
1,1,1,1,1,3,122.3,0,0,1,0,0,19,0,0,0,0.0,0,0,0,0.0,1.74,0
1,1,1,1,1,38,127.9,0,0,1,0,1,19,5,5,5,12.8,5,5,5,14.2,-3.12,1
1,1,1,1,1,19,121.3,1,0,1,0,0,19,6,15,6,14.166666666666666,6,13,6,12.2,-4.06,1
1,17,6,1,1,1,117.1,1,0,1,0,0,19,7,12,5,12.1,7,0,0,0.0,0.79,0
1,44,1,1,39,37,160.0,1,0,1,0,0,20,6,7,6,14.166666666666666,6,17,5,13.77777777777778,1.79,1
1,17,3,1,1,1,122.6,1,0,1,0,0,18,6,7,6,13.0,6,6,6,13.666666666666666,1.79,1
1,17,6,1,1,1,128.0,1,0,1,0,0,19,7,7,7,13.467142857142855,8,9,8,15.011111111111113,1.79,1
1,1,3,1,1,19,124.9,1,0,1,0,1,18,7,9,7,13.2375,8,9,7,13.742857142857144,0.79,0
1,17,2,1,1,37,123.7,1,0,1,0,0,18,6,6,6,12.333333333333334,6,6,6,13.0,0.32,1
1,1,4,1,1,1,120.1,1,0,1,0,0,19,5,7,5,12.4,5,5,5,14.6,3.51,1
1,17,6,1,1,1,131.7,1,0,1,0,0,19,7,8,5,14.0,7,7,0,0.0,0.79,0
1,43,1,1,1,38,133.2,0,0,1,0,0,20,9,15,9,11.666666666666666,7,8,7,11.714285714285714,0.32,1
1,1,1,1,1,1,109.3,0,1,0,0,1,19,6,7,5,12.0,6,9,4,12.5,1.79,0
1,17,1,1,1,19,113.0,1,0,1,0,0,20,5,7,4,12.2,5,5,4,11.5,0.32,1
1,1,1,1,1,1,157.9,0,1,1,0,1,18,6,6,6,14.833333333333334,6,6,6,14.833333333333334,3.51,1
1,18,1,1,1,19,174.7,0,0,1,0,0,18,7,8,7,17.125,8,8,8,17.5875,0.79,1
1,1,5,1,1,37,128.8,1,0,1,0,0,19,7,7,6,12.666666666666666,7,7,6,12.666666666666666,0.32,1
1,1,6,1,1,19,110.1,1,0,1,0,1,19,6,8,6,12.666666666666666,6,10,5,12.0,1.79,1
1,1,3,1,1,1,121.0,1,0,1,0,1,19,6,7,6,11.333333333333334,6,6,6,11.5,1.79,1
1,1,3,1,1,19,131.7,1,0,1,0,1,19,7,10,7,13.605,8,11,8,12.33125,-4.06,1
1,17,5,1,1,37,119.1,1,0,1,0,1,19,6,10,5,12.0,6,9,5,10.8,-3.12,1
1,1,4,1,1,12,124.7,1,0,1,0,0,19,5,10,0,0.0,5,10,0,0.0,0.32,0
1,17,1,1,1,1,117.2,1,0,1,0,0,20,6,8,5,11.2,6,12,3,11.666666666666666,0.32,0
1,1,1,1,1,3,128.8,0,0,1,0,0,18,5,10,5,13.375,5,9,5,14.166666666666666,0.79,1
1,1,1,1,1,1,131.5,0,0,1,0,1,20,7,8,6,13.863333333333337,8,9,7,14.178571428571429,2.02,1
1,1,1,1,1,1,123.4,0,0,1,0,0,19,5,6,5,12.4,5,6,5,13.4,0.32,1
1,1,1,1,1,37,132.8,1,0,1,0,0,18,6,7,6,13.333333333333334,6,8,5,11.8,0.32,1
1,43,1,1,1,3,108.7,1,0,1,0,0,21,6,10,3,12.666666666666666,6,12,3,10.0,-3.12,0
1,1,1,1,1,38,138.1,0,0,1,0,0,19,6,8,6,12.0,6,10,4,11.5,0.32,0
1,1,1,1,1,38,126.5,0,0,1,0,1,18,5,5,5,10.6,5,5,5,11.8,1.79,1
1,17,2,1,1,1,127.4,1,0,1,0,1,18,6,8,6,12.25,6,7,6,11.857142857142858,-1.7,1
1,1,3,1,1,19,123.6,1,0,1,0,0,20,6,10,4,11.0,6,9,6,11.833333333333334,-3.12,1
1,39,1,0,1,1,122.0,0,0,1,0,1,24,6,11,5,11.0,6,9,5,12.6,2.02,1
1,1,1,1,1,19,118.2,0,0,1,0,0,19,6,6,6,13.166666666666666,6,9,6,13.0,1.74,0
1,1,1,1,1,19,123.9,1,0,1,0,1,18,7,9,7,12.855555555555554,8,12,7,12.761111111111113,-4.06,1
1,1,2,1,1,19,125.8,1,0,1,0,0,18,7,8,7,14.91875,8,8,8,15.355,-4.06,1
1,17,5,1,1,12,123.3,1,0,1,0,0,21,6,13,4,11.5,6,10,3,11.0,1.74,0
1,17,2,1,1,1,124.4,0,0,1,0,0,19,5,5,5,14.2,5,5,5,14.2,0.32,1
1,17,1,1,1,19,126.0,0,0,1,0,1,19,6,6,6,12.5,6,7,6,13.0,-4.06,1
1,17,3,1,1,19,121.5,0,0,1,0,0,19,6,10,5,11.666666666666666,6,12,4,11.0,0.79,1
1,39,1,1,3,2,130.0,0,0,1,0,0,29,8,8,7,14.257142857142856,8,8,7,14.257142857142856,-1.7,1
1,43,1,1,1,19,117.0,1,0,1,0,0,21,6,13,3,12.0,6,12,2,11.333333333333334,-0.92,0
1,17,2,1,1,37,108.0,0,0,1,0,0,20,7,8,7,12.457142857142856,8,8,8,13.5625,-4.06,1
1,17,1,1,1,2,132.3,1,0,1,0,0,19,7,7,6,11.683333333333332,7,7,6,11.683333333333332,0.32,1
1,42,1,0,1,19,148.0,0,0,1,0,0,26,6,10,3,11.666666666666666,6,8,5,12.0,-3.12,1
1,17,2,1,1,37,122.6,1,1,0,0,0,20,6,8,4,11.75,6,6,6,13.166666666666666,2.02,0
1,39,1,1,1,37,102.5,0,0,1,0,0,27,6,9,5,13.2,6,10,5,12.0,0.32,1
1,1,2,1,1,34,113.3,1,0,1,0,0,20,7,8,4,11.95,7,8,4,11.95,0.32,0
1,1,5,1,1,37,133.0,1,0,1,0,0,18,6,8,5,12.4,6,12,5,10.4,-3.12,0
1,7,1,1,3,1,140.0,0,0,1,0,0,33,7,8,6,14.35,8,10,6,14.583333333333334,-0.92,0
1,43,1,1,1,3,128.3,1,0,1,0,0,35,21,21,21,12.61904761904762,19,19,19,12.789473684210526,1.79,1
1,39,1,1,19,19,104.0,0,1,0,0,0,27,6,6,5,12.0,6,6,0,0.0,2.02,0
1,18,3,1,1,1,122.3,1,0,0,0,0,19,6,6,6,12.166666666666666,6,6,0,0.0,-4.06,0
1,17,2,1,1,1,135.0,0,0,1,0,0,20,6,0,0,0.0,6,0,0,0.0,2.02,0
1,18,2,1,1,3,119.1,1,1,0,0,0,20,5,9,3,10.0,5,9,3,10.571428571428571,1.74,0
1,17,3,1,1,38,129.0,1,0,1,0,1,18,7,7,6,13.05,7,7,6,13.05,0.32,1
1,39,1,1,1,1,162.3,1,0,1,0,0,24,6,10,2,11.0,6,6,0,0.0,3.51,0
1,17,4,1,1,1,163.4,1,0,1,0,0,20,6,7,6,11.5,6,6,6,12.0,-0.92,1
1,1,1,1,1,19,121.5,0,0,1,0,1,21,6,7,6,12.0,6,6,6,12.5,0.79,1
1,39,1,1,1,12,118.0,1,0,1,0,0,24,5,5,0,0.0,5,5,0,0.0,0.32,0
1,51,1,1,1,1,134.0,0,0,1,0,0,21,6,0,0,0.0,6,0,0,0.0,1.79,0
1,1,4,1,1,38,129.8,1,0,1,0,0,18,8,8,7,12.242857142857144,8,8,7,12.242857142857144,-1.7,1
1,39,1,0,40,19,152.0,1,0,1,0,0,27,5,0,0,0.0,5,0,0,0.0,3.51,0
1,18,6,1,1,37,122.8,1,0,1,0,0,18,8,8,8,12.93375,8,8,8,12.93375,-3.12,1
1,7,1,1,3,3,150.0,0,0,1,0,0,35,5,0,0,0.0,5,0,0,0.0,0.79,0
1,1,1,1,1,19,131.8,0,0,1,0,0,18,7,9,7,12.571428571428571,7,8,7,14.428571428571429,2.02,1
1,1,1,1,1,1,132.1,1,0,1,0,0,19,5,9,4,13.75,5,13,4,14.333333333333334,1.74,1
1,1,4,1,1,19,127.4,1,0,1,0,0,20,6,8,6,11.166666666666666,6,6,6,11.333333333333334,0.32,1
1,1,4,1,1,19,129.5,1,0,1,0,0,18,8,8,7,12.324285714285711,8,8,7,12.324285714285711,1.74,1
1,44,1,1,39,38,126.7,0,1,1,0,0,21,6,6,6,12.166666666666666,6,7,6,11.714285714285714,0.79,1
1,17,2,1,1,19,116.5,0,0,1,0,1,18,6,11,5,11.142857142857142,6,11,4,11.25,-0.92,1
1,1,1,1,1,34,119.1,1,0,1,0,0,18,6,9,4,11.0,6,9,4,10.75,0.32,1
1,1,2,1,1,19,126.5,1,0,1,0,0,18,8,8,7,12.914285714285713,8,8,7,12.914285714285713,-1.7,1
1,1,4,1,1,3,149.8,1,0,1,0,1,18,6,6,6,13.833333333333334,6,6,6,14.166666666666666,-0.92,1
1,1,1,1,1,19,115.1,1,0,1,0,0,19,6,8,6,13.857142857142858,6,9,5,13.4,0.79,1
1,39,1,1,19,3,124.5,0,0,1,0,1,36,6,7,6,13.714285714285714,6,6,5,12.8,-0.92,0
1,1,2,1,1,38,128.3,1,0,1,0,1,18,8,8,7,12.642857142857142,8,8,7,12.642857142857142,-1.7,1
1,1,1,1,1,37,136.0,0,0,1,0,1,18,7,7,6,12.916666666666666,7,7,6,12.916666666666666,0.32,1
1,43,1,1,1,1,140.0,1,0,1,0,1,20,6,8,6,15.625,6,8,6,15.857142857142858,0.79,1
1,39,1,0,1,37,126.3,0,0,1,0,1,26,5,7,0,0.0,5,8,0,0.0,-0.92,0
1,43,1,1,1,1,126.9,0,0,1,0,0,21,6,8,6,11.714285714285714,6,7,6,12.0,0.32,1
1,18,1,1,1,19,115.8,1,0,1,0,1,19,5,7,5,11.6,5,5,5,11.6,1.79,1
1,39,1,0,1,19,100.0,1,0,1,0,0,24,6,11,1,10.0,6,6,0,0.0,-3.12,0
1,39,1,0,1,1,102.5,0,0,1,0,1,27,6,16,1,10.0,6,13,0,0.0,3.51,0
1,17,1,1,1,19,131.5,0,0,1,0,0,21,5,10,0,0.0,5,9,2,13.5,0.32,0
1,1,1,1,1,38,147.0,0,0,1,0,1,18,5,7,4,13.0,5,8,3,12.333333333333334,-3.12,1
2,1,4,1,1,37,122.5,0,0,1,0,1,19,6,6,6,13.333333333333334,6,6,6,14.5,1.74,1
1,1,3,1,1,1,117.5,1,0,1,0,0,18,6,9,4,11.25,6,13,2,12.5,-3.12,0
1,51,1,1,1,19,150.0,0,0,1,0,1,19,7,9,5,13.85,8,9,7,12.19285714285714,2.02,1
1,18,1,1,1,1,127.5,1,0,1,0,1,19,7,8,6,13.741666666666667,8,9,7,14.9125,-0.92,1
2,7,1,0,43,40,140.0,0,0,1,0,0,33,6,7,6,15.333333333333334,5,5,5,15.8,2.02,1
2,7,1,1,3,1,130.0,0,0,1,0,0,45,5,6,5,11.0,5,5,5,13.8,1.79,1
1,1,1,1,1,1,133.3,0,0,1,0,1,20,6,6,6,12.0,6,7,6,12.857142857142858,2.02,1
1,39,2,1,1,34,97.0,1,0,1,0,0,28,5,5,0,0.0,5,5,0,0.0,0.32,0
1,43,1,1,1,1,112.0,1,0,1,0,1,19,8,15,7,11.571428571428571,8,15,7,11.571428571428571,-1.7,1
1,1,2,1,1,1,123.6,1,0,1,0,0,18,6,10,6,12.857142857142858,6,6,3,12.666666666666666,-1.7,1
1,39,1,1,3,19,130.5,0,0,1,0,0,38,6,0,0,0.0,6,0,0,0.0,-4.06,0
1,1,2,1,1,1,133.3,0,0,1,0,0,19,5,5,5,13.0,5,5,5,13.2,-3.12,1
1,1,1,1,1,1,132.1,0,0,1,0,1,21,6,9,5,11.0,6,8,5,12.0,-4.06,1
1,1,1,1,1,37,100.0,0,0,1,0,0,21,5,12,3,12.0,5,12,1,15.0,-0.92,0
1,1,1,1,1,38,140.4,0,0,1,0,1,22,6,6,5,12.6,6,6,6,13.0,1.74,1
1,1,1,1,1,19,141.7,0,0,1,0,1,18,6,8,5,13.4,6,7,6,13.166666666666666,-3.12,1
1,17,2,1,1,37,119.7,0,0,1,0,1,18,6,9,6,11.333333333333334,6,9,6,11.571428571428571,-4.06,1
1,1,1,1,1,19,122.5,1,0,0,0,0,25,5,14,4,13.5,5,10,4,14.25,-3.12,0
1,39,1,1,19,19,140.0,0,1,0,0,0,24,6,11,3,11.75,6,14,3,10.333333333333334,-0.92,0
1,1,2,1,1,37,119.1,1,0,1,0,1,20,5,5,5,11.6,5,5,5,13.6,1.79,1
1,39,1,1,1,37,122.7,0,0,0,0,0,25,5,5,0,0.0,5,9,0,0.0,1.74,0
1,1,1,1,1,38,117.9,0,0,1,0,1,20,10,13,9,12.9,10,12,10,12.363636363636363,3.51,1
1,7,1,1,3,19,130.0,0,0,1,0,0,23,8,8,8,13.22,8,8,8,13.22,-3.12,1
1,17,3,1,1,19,120.0,1,0,1,0,1,19,8,8,7,13.151428571428571,8,8,7,13.151428571428571,1.74,1
1,44,1,1,39,37,130.0,0,1,0,0,0,29,6,13,3,12.75,6,8,3,11.333333333333334,0.79,0
1,1,3,1,1,19,116.8,1,0,1,0,0,21,6,8,6,11.333333333333334,6,8,4,12.25,2.02,1
1,1,1,1,1,19,123.4,1,0,1,0,1,18,6,10,6,13.25,6,13,5,14.142857142857142,2.02,1
1,1,3,1,1,38,127.2,1,0,1,0,1,18,6,6,6,15.0,6,6,6,12.833333333333334,3.51,0
1,1,1,1,1,9,103.4,0,0,1,0,0,19,5,6,5,14.4,5,6,5,13.0,0.32,1
1,17,1,1,1,1,124.1,0,0,1,0,0,18,5,8,5,12.4,5,6,5,10.8,3.51,1
2,39,1,1,19,38,99.5,1,1,0,0,1,37,7,13,1,16.0,7,12,0,0.0,3.51,0
1,17,1,0,40,37,124.9,0,0,1,0,0,29,5,10,5,13.571428571428571,5,14,5,12.333333333333334,-0.92,1
1,1,1,1,1,1,118.9,1,0,1,0,1,19,6,8,5,11.666666666666666,6,9,5,12.666666666666666,1.79,1
1,43,1,1,1,1,118.8,1,1,0,0,0,22,10,16,6,11.833333333333334,7,8,2,13.0,-0.92,0
1,1,1,1,1,37,137.0,0,0,1,0,1,20,6,8,6,11.166666666666666,6,10,5,10.6,-4.06,1
1,39,1,0,1,37,100.0,0,0,1,0,0,34,6,0,0,0.0,6,0,0,0.0,-1.7,0
1,43,1,1,1,37,120.0,0,1,0,0,0,30,12,17,8,11.75,12,19,6,12.166666666666666,0.32,0
1,1,1,1,1,1,122.8,0,0,1,0,0,18,6,7,6,14.0,6,7,6,14.0,1.74,1
1,1,1,1,1,38,121.6,0,0,1,0,0,18,6,6,6,12.833333333333334,6,6,6,12.0,1.79,1
1,1,2,1,1,3,149.2,1,0,1,0,0,18,6,11,4,12.25,6,10,3,11.666666666666666,-3.12,1
1,17,4,1,1,4,140.0,1,0,1,0,0,18,8,8,7,14.828571428571427,8,8,7,14.828571428571427,-1.7,1
1,1,2,1,1,38,133.4,1,0,1,0,1,19,6,7,5,11.4,6,8,5,12.8,-1.7,1
1,1,1,1,1,37,126.2,1,0,1,0,1,19,6,6,6,13.0,6,8,6,12.5,1.74,1
1,1,5,1,1,1,127.8,0,0,1,0,1,18,8,8,7,13.671428571428573,8,8,7,13.671428571428573,-1.7,1
1,44,1,1,39,37,150.0,0,0,1,0,1,21,6,9,6,12.666666666666666,6,8,5,12.8,0.79,1
1,1,2,1,1,1,113.7,1,0,0,0,0,20,5,10,2,10.0,5,12,1,13.0,0.32,0
1,17,1,1,1,12,117.8,1,0,1,0,0,20,5,10,5,13.5,5,8,5,12.333333333333334,0.79,1
1,1,1,1,1,5,136.7,0,0,1,0,0,19,7,8,7,12.67,8,8,8,13.55,2.02,1
1,1,1,1,1,1,144.7,0,0,1,0,0,20,6,8,6,14.5,6,7,6,15.428571428571429,-0.92,1
1,17,3,1,1,12,139.8,1,0,1,0,0,18,7,7,7,13.685714285714283,8,8,8,15.3875,0.79,1
1,42,1,1,1,37,113.7,0,0,1,0,0,20,6,8,5,11.0,6,10,3,10.666666666666666,-1.7,0
2,7,1,1,3,5,140.0,0,1,0,0,0,29,9,16,7,11.555555555555555,7,12,5,13.2,0.32,0
1,1,1,1,1,19,119.6,1,0,1,0,1,20,7,8,7,14.00375,8,11,7,13.812857142857142,-4.06,1
1,16,2,1,1,38,123.7,1,0,1,0,1,22,5,8,4,12.0,5,8,4,11.4,-0.92,1
4,1,1,0,1,39,143.0,1,0,1,0,1,47,6,9,5,14.166666666666666,6,7,6,14.166666666666666,-0.92,1
